"","coexpression_counts"
"AL596275.2",0
"AL592182.3",0
"DMRTA2",0
"FAF1",105
"AL049637.1",0
"CDKN2C",43
"C1orf185",0
"LINC01562",0
"RNF11",154
"AL162430.2",0
"TTC39A",2
"TTC39A-AS1",0
"EPS15",130
"AC104170.2",0
"AC104170.1",0
"OSBPL9",164
"NRDC",169
"AL050343.1",4
"AL050343.2",1
"RAB3B",139
"TXNDC12",162
"KTI12",79
"AL445685.1",0
"TXNDC12-AS1",0
"BTF3L4",167
"ZFYVE9",61
"CC2D1B",63
"AL513218.1",0
"ORC1",19
"PRPF38A",132
"TUT4",127
"AL591167.1",0
"GPX7",115
"SHISAL2A",0
"COA7",97
"ZYG11B",124
"ZYG11A",7
"AC099677.4",0
"ECHDC2",85
"SCP2",170
"PODN",3
"AL445183.1",0
"SLC1A7",0
"AL445183.2",1
"CPT2",103
"AL606760.2",0
"C1orf123",157
"AL606760.3",0
"MAGOH",164
"AL606760.1",10
"LRP8",60
"AL355483.4",0
"AL355483.2",0
"AL355483.3",0
"LINC01771",0
"AC119428.1",0
"AC119428.2",0
"DMRTB1",0
"GLIS1",9
"NDC1",67
"YIPF1",99
"DIO1",0
"HSPB11",170
"LRRC42",131
"LDLRAD1",0
"TMEM59",178
"TCEANC2",28
"AL357673.1",0
"CDCP2",0
"AL357673.2",0
"CYB5RL",38
"MRPL37",167
"SSBP3",143
"SSBP3-AS1",0
"AL161644.1",0
"AL035415.1",0
"AC099796.1",0
"ACOT11",14
"FAM151A",0
"MROH7",0
"MROH7-TTC4",0
"TTC4",33
"PARS2",24
"TTC22",0
"AC096536.2",0
"LEXM",0
"DHCR24",95
"AC096536.3",0
"AC096536.1",2
"TMEM61",0
"AL590440.1",0
"BSND",0
"PCSK9",1
"USP24",89
"MIR4422HG",0
"AL603840.1",0
"LINC01753",0
"LINC01755",0
"AL353681.1",0
"AC119674.1",3
"AC119674.2",0
"LINC01767",0
"PLPP3",62
"PRKAA2",5
"FYB2",0
"AL360295.1",0
"C8A",0
"C8B",0
"AL161740.1",0
"DAB1",0
"AL390243.1",0
"DAB1-AS1",0
"AL445193.2",0
"OMA1",62
"TACSTD2",1
"MYSM1",82
"AL136985.3",1
"JUN",174
"LINC01135",0
"AL136985.2",0
"AL136985.1",0
"AC105277.1",6
"LINC01358",12
"AL592431.2",0
"AL592431.1",0
"AC093424.1",0
"FGGY",65
"AL035416.1",0
"HOOK1",0
"CYP2J2",0
"C1orf87",0
"AC097066.1",0
"LINC01748",0
"AC099792.1",0
"NFIA",129
"NFIA-AS2",1
"AC099791.3",0
"TM2D1",145
"AC099791.2",6
"PATJ",21
"L1TD1",1
"KANK4",0
"USP1",120
"DOCK7",148
"ANGPTL3",0
"AC103923.1",0
"ATG4C",49
"AC099794.1",0
"LINC01739",0
"AL162400.1",0
"AL162400.2",0
"AC096543.1",0
"AC096543.2",0
"FOXD3-AS1",0
"FOXD3",0
"ALG6",54
"ITGB3BP",94
"EFCAB7",14
"PGM1",117
"ROR1",82
"ROR1-AS1",9
"AL445205.1",1
"UBE2U",0
"CACHD1",26
"RAVER2",36
"JAK1",177
"AL357078.3",0
"AL357078.1",1
"AK4",88
"DNAJC6",0
"AL139294.1",0
"LEPROT",171
"LEPR",22
"AL513493.1",0
"PDE4B",28
"AL590783.1",0
"SGIP1",24
"AL139147.1",1
"TCTEX1D1",1
"INSL5",0
"WDR78",11
"AL592161.1",0
"MIER1",158
"SLC35D1",80
"C1orf141",0
"IL23R",0
"IL12RB2",0
"SERBP1",180
"LINC01702",0
"GADD45A",165
"GNG12",175
"GNG12-AS1",4
"DIRAS3",16
"WLS",135
"RPE65",0
"DEPDC1",63
"AL138789.1",0
"DEPDC1-AS1",1
"AL035412.1",0
"AL033530.1",0
"AL691520.1",0
"LINC01707",0
"AL512271.1",0
"LINC01758",0
"LRRC7",4
"AL158840.1",0
"LRRC40",92
"SRSF11",177
"AL353771.1",0
"ANKRD13C",97
"HHLA3",66
"AL158839.1",0
"CTH",40
"AL354872.2",3
"LINC01788",0
"AL513285.1",0
"PTGER3",0
"AL031429.1",1
"ZRANB2-AS1",0
"ZRANB2",174
"NEGR1",82
"AL354949.1",0
"AL583808.1",0
"AL583808.2",0
"LINC01360",0
"LINC02238",0
"LRRIQ3",3
"FPGT",39
"FPGT-TNNI3K",0
"TNNI3K",1
"AC093158.1",0
"AC105271.1",0
"LRRC53",0
"ERICH3",0
"ERICH3-AS1",0
"AC135803.1",0
"CRYZ",64
"TYW3",171
"AC133865.1",0
"AC099786.3",0
"AC099786.1",0
"LHX8",0
"AC099786.2",0
"SLC44A5",2
"AL357314.1",0
"ACADM",134
"RABGGTB",129
"MSH4",0
"ASB17",0
"AC092813.1",0
"AC092813.2",0
"ST6GALNAC3",43
"AC104458.1",0
"LINC02567",0
"ST6GALNAC5",0
"AL035409.1",0
"PIGK",114
"AK5",38
"AC095030.1",0
"AC118549.1",97
"USP33",131
"MIGA1",118
"NEXN-AS1",15
"NEXN",159
"FUBP1",146
"DNAJB4",99
"GIPC2",0
"AC103591.3",19
"PTGFR",5
"IFI44L",18
"IFI44",33
"ADGRL4",168
"AL353651.2",0
"AL353651.1",0
"AL353651.3",0
"AC099671.1",0
"AC098657.2",0
"AL606519.1",0
"AL136234.1",0
"LINC01781",0
"AC093154.1",0
"ADGRL2",100
"AL138799.4",0
"AC117944.1",0
"AC093580.1",0
"LINC01362",0
"LINC01361",0
"LINC01712",0
"LINC01725",0
"AL035706.1",0
"TTLL7",103
"AC104454.2",0
"AL359504.2",16
"PRKACB",106
"SAMD13",7
"DNASE2B",0
"AL844170.1",0
"RPF1",128
"GNG5",180
"SPATA1",8
"CTBS",136
"AL359762.2",0
"LINC01555",0
"SSX2IP",90
"AC104169.1",0
"LPAR3",10
"MCOLN2",1
"WDR63",2
"MCOLN3",0
"SYDE2",32
"C1orf52",143
"BCL10",115
"AL078459.1",5
"DDAH1",116
"AL360219.1",0
"AC092807.3",98
"AC092807.2",0
"CYR61",167
"AC092807.1",0
"ZNHIT6",124
"COL24A1",3
"AL136382.1",1
"ODF2L",157
"CLCA2",3
"CLCA1",0
"CLCA4",0
"AL356270.1",0
"AL049597.2",12
"SH3GLB1",176
"AL355981.1",0
"SELENOF",176
"HS2ST1",110
"AL121989.1",0
"AC093155.3",0
"LINC01140",8
"AC099062.1",6
"LMO4",169
"LINC01364",0
"PKN2-AS1",2
"PKN2",150
"GTF2B",127
"KYAT3",100
"RBMXL1",69
"GBP3",107
"GBP1",147
"GBP2",62
"GBP7",4
"GBP4",54
"AC099063.4",0
"GBP5",7
"AC099063.1",0
"GBP6",0
"LRRC8B",21
"LRRC8C-DT",14
"LRRC8C",78
"AC093423.3",0
"AC099568.2",0
"LRRC8D",75
"AL391497.1",0
"ZNF326",147
"AC092783.1",0
"BARHL2",0
"LINC01763",0
"AC091614.1",0
"ZNF644",158
"HFM1",1
"CDC7",18
"TGFBR3",42
"BRDT",0
"EPHX4",2
"SETSIP",12
"BTBD8",8
"AC104836.1",1
"C1orf146",0
"GLMN",56
"RPAP2",103
"GFI1",0
"EVI5",163
"RPL5",180
"FAM69A",54
"MTF2",121
"TMED5",164
"CCDC18",78
"DR1",155
"FNBP1L",128
"BCAR3",112
"AL109613.1",0
"DNTTIP2",163
"GCLM",156
"ABCA4",2
"AC093579.1",0
"ARHGAP29",137
"AC097059.1",4
"AC097059.2",0
"ABCD3",122
"F3",15
"AC093117.1",0
"SLC44A3",0
"CNN3",168
"AC105942.1",10
"ALG14",122
"AC095033.1",0
"TMEM56",6
"TMEM56-RWDD3",7
"AC092802.1",1
"RWDD3",10
"AC092802.2",0
"LINC01760",0
"LINC01650",0
"AL445218.1",0
"LINC01761",0
"AL356479.1",0
"AL683887.1",0
"AC099566.1",0
"LINC01787",0
"PTBP2",55
"DPYD",46
"DPYD-AS1",0
"DPYD-AS2",0
"MIR137HG",34
"BX005019.1",10
"LINC01776",4
"SNX7",147
"PLPPR5",0
"AL445433.2",0
"PLPPR4",0
"LINC01708",0
"PALMD",18
"FRRS1",0
"AGL",95
"AC118553.1",5
"SLC35A3",94
"AC118553.2",2
"MFSD14A",2
"AC093019.2",0
"SASS6",50
"TRMT13",74
"LRRC39",0
"DBT",63
"RTCA-AS1",2
"RTCA",165
"AC104457.2",0
"CDC14A",24
"AL589990.1",0
"GPR88",1
"LINC01349",0
"VCAM1",20
"EXTL2",135
"AC104506.1",15
"SLC30A7",142
"DPH5",88
"AC093157.2",4
"AC093157.1",63
"AL109741.1",5
"S1PR1",30
"LINC01307",0
"LINC01709",0
"OLFM3",0
"AC114485.1",0
"AC099567.1",0
"COL11A1",2
"AC095032.2",0
"RNPC3",51
"AMY2B",0
"AMY2A",0
"AMY1A",0
"AMY1B",0
"AMY1C",0
"LINC01676",0
"LINC01677",0
"AL355306.2",0
"LINC01661",0
"PRMT6",72
"NTNG1",1
"VAV3",0
"VAV3-AS1",0
"AL390036.1",0
