"","coexpression_counts"
"CYP4A22-AS1",0
"CYP4A22",0
"LINC00853",5
"PDZK1IP1",0
"TAL1",0
"AL135960.1",0
"STIL",3
"CMPK1",199
"LINC01389",0
"FOXE3",0
"FOXD2-AS1",3
"FOXD2",2
"LINC01738",0
"TRABD2B",0
"AL691459.1",0
"AC096541.1",0
"AL356289.1",0
"AL356289.2",0
"AL109659.1",0
"SLC5A9",0
"AL109659.2",0
"SPATA6",14
"AGBL4",0
"BEND5",0
"AC099788.1",0
"AL590432.1",0
"ELAVL4",0
"AL592182.2",0
"AL592182.1",0
"AL596275.2",0
"AL592182.3",0
"DMRTA2",0
"FAF1",62
"AL049637.1",0
"CDKN2C",76
"C1orf185",0
"LINC01562",0
"RNF11",187
"AL162430.2",0
"TTC39A",1
"TTC39A-AS1",0
"EPS15",114
"AC104170.2",0
"AC104170.1",2
"OSBPL9",114
"NRDC",127
"AL050343.1",4
"AL050343.2",0
"RAB3B",127
"TXNDC12",118
"KTI12",46
"AL445685.1",0
"TXNDC12-AS1",0
"BTF3L4",156
"ZFYVE9",19
"CC2D1B",35
"AL513218.1",0
"ORC1",2
"PRPF38A",58
"TUT4",68
"AL591167.1",0
"GPX7",44
"SHISAL2A",0
"COA7",40
"ZYG11B",98
"ZYG11A",0
"AC099677.4",0
"ECHDC2",94
"SCP2",173
"PODN",35
"AL445183.1",0
"SLC1A7",3
"AL445183.2",4
"CPT2",24
"AL606760.2",1
"C1orf123",97
"AL606760.3",2
"MAGOH",54
"AL606760.1",7
"LRP8",32
"AL355483.4",0
"AL355483.2",0
"AL355483.3",0
"LINC01771",0
"AC119428.1",0
"AC119428.2",0
"DMRTB1",0
"GLIS1",0
"NDC1",19
"YIPF1",48
"DIO1",0
"HSPB11",97
"LRRC42",65
"LDLRAD1",0
"TMEM59",199
"TCEANC2",15
"AL357673.1",0
"CDCP2",0
"AL357673.2",0
"CYB5RL",29
"MRPL37",157
"SSBP3",115
"SSBP3-AS1",0
"AL161644.1",0
"AL035415.1",0
"AC099796.1",0
"ACOT11",21
"FAM151A",0
"MROH7",0
"MROH7-TTC4",0
"TTC4",4
"PARS2",3
"TTC22",0
"AC096536.2",0
"LEXM",0
"DHCR24",140
"AC096536.3",0
"AC096536.1",2
"TMEM61",2
"AL590440.1",0
"BSND",0
"PCSK9",18
"USP24",37
"MIR4422HG",0
"AL603840.1",2
"LINC01753",0
"LINC01755",0
"AL353681.1",0
"AC119674.1",0
"AC119674.2",0
"LINC01767",0
"PLPP3",65
"PRKAA2",21
"FYB2",0
"AL360295.1",0
"C8A",0
"C8B",0
"AL161740.1",0
"DAB1",1
"AL390243.1",0
"DAB1-AS1",0
"AL445193.2",0
"OMA1",12
"TACSTD2",0
"MYSM1",39
"AL136985.3",0
"JUN",145
"LINC01135",0
"AL136985.2",0
"AL136985.1",0
"AC105277.1",3
"LINC01358",6
"AL592431.2",0
"AL592431.1",0
"AC093424.1",0
"FGGY",18
"AL035416.1",0
"HOOK1",0
"CYP2J2",0
"C1orf87",0
"AC097066.1",0
"LINC01748",0
"AC099792.1",0
"NFIA",108
"NFIA-AS2",0
"AC099791.3",0
"TM2D1",166
"AC099791.2",11
"PATJ",12
"L1TD1",0
"KANK4",0
"USP1",70
"DOCK7",71
"ANGPTL3",0
"AC103923.1",0
"ATG4C",13
"AC099794.1",0
"LINC01739",0
"AL162400.1",0
"AL162400.2",0
"AC096543.1",0
"AC096543.2",0
"FOXD3-AS1",0
"FOXD3",0
"ALG6",5
"ITGB3BP",66
"EFCAB7",3
"PGM1",102
"ROR1",48
"ROR1-AS1",0
"AL445205.1",0
"UBE2U",0
"CACHD1",8
"RAVER2",11
"JAK1",172
"AL357078.3",0
"AL357078.1",0
"AK4",95
"DNAJC6",0
"AL139294.1",0
"LEPROT",183
"LEPR",35
"AL513493.1",0
"PDE4B",14
"AL590783.1",0
"SGIP1",42
"AL139147.1",0
"TCTEX1D1",1
"INSL5",0
"WDR78",1
"AL592161.1",0
"MIER1",126
"SLC35D1",33
"C1orf141",0
"IL23R",0
"IL12RB2",0
"SERBP1",213
"LINC01702",0
"GADD45A",137
"GNG12",205
"GNG12-AS1",1
"DIRAS3",23
"WLS",104
"RPE65",0
"DEPDC1",4
"AL138789.1",0
"DEPDC1-AS1",2
"AL035412.1",0
"AL033530.1",0
"AL691520.1",0
"LINC01707",0
"AL512271.1",0
"LINC01758",0
"LRRC7",0
"AL158840.1",0
"LRRC40",31
"SRSF11",177
"AL353771.1",0
"ANKRD13C",56
"HHLA3",50
"AL158839.1",0
"CTH",27
"AL354872.2",1
"LINC01788",0
"AL513285.1",0
"PTGER3",0
"AL031429.1",0
"ZRANB2-AS1",0
"ZRANB2",132
"NEGR1",94
"AL354949.1",0
"AL583808.1",0
"AL583808.2",0
"LINC01360",0
"LINC02238",0
"LRRIQ3",5
"FPGT",12
"FPGT-TNNI3K",0
"TNNI3K",1
"AC093158.1",0
"AC105271.1",0
"LRRC53",0
"ERICH3",0
"ERICH3-AS1",0
"AC135803.1",1
"CRYZ",48
"TYW3",89
"AC133865.1",0
"AC099786.3",0
"AC099786.1",0
"LHX8",0
"AC099786.2",0
"SLC44A5",0
"AL357314.1",0
"ACADM",73
"RABGGTB",125
"MSH4",0
"ASB17",0
"AC092813.1",0
"AC092813.2",0
"ST6GALNAC3",1
"AC104458.1",0
"LINC02567",0
"ST6GALNAC5",0
"AL035409.1",0
"PIGK",87
"AK5",57
"AC095030.1",0
"AC118549.1",61
"USP33",67
"MIGA1",83
"NEXN-AS1",8
"NEXN",158
"FUBP1",84
"DNAJB4",82
"GIPC2",1
"AC103591.3",6
"PTGFR",72
"IFI44L",22
"IFI44",26
"ADGRL4",156
"AL353651.2",0
"AL353651.1",0
"AL353651.3",0
"AC099671.1",0
"AC098657.2",0
"AL606519.1",0
"AL136234.1",0
"LINC01781",0
"AC093154.1",0
"ADGRL2",72
"AL138799.4",0
"AC117944.1",0
"AC093580.1",0
"LINC01362",0
"LINC01361",0
"LINC01712",0
"LINC01725",0
"AL035706.1",0
"TTLL7",88
"AC104454.2",0
"AL359504.2",19
"PRKACB",59
"SAMD13",7
"DNASE2B",0
"AL844170.1",0
"RPF1",63
"GNG5",210
"SPATA1",3
"CTBS",76
"AL359762.2",0
"LINC01555",0
"SSX2IP",51
"AC104169.1",0
"LPAR3",0
"MCOLN2",9
"WDR63",6
"MCOLN3",4
"SYDE2",9
"C1orf52",99
"BCL10",77
"AL078459.1",0
"DDAH1",176
"AL360219.1",1
"AC092807.3",125
"AC092807.2",0
"CYR61",200
"AC092807.1",0
"ZNHIT6",34
"COL24A1",1
"AL136382.1",0
"ODF2L",120
"CLCA2",2
"CLCA1",0
"CLCA4",0
"AL356270.1",0
"AL049597.2",5
"SH3GLB1",195
"AL355981.1",0
"SELENOF",206
"HS2ST1",108
"AL121989.1",0
"AC093155.3",0
"LINC01140",5
"AC099062.1",0
"LMO4",178
"LINC01364",0
"PKN2-AS1",0
"PKN2",80
"GTF2B",31
"KYAT3",31
"RBMXL1",50
"GBP3",19
"GBP1",40
"GBP2",23
"GBP7",0
"GBP4",6
"AC099063.4",0
"GBP5",0
"AC099063.1",0
"GBP6",0
"LRRC8B",4
"LRRC8C-DT",12
"LRRC8C",33
"AC093423.3",0
"AC099568.2",4
"LRRC8D",74
"AL391497.1",0
"ZNF326",60
"AC092783.1",0
"BARHL2",0
"LINC01763",0
"AC091614.1",0
"ZNF644",47
"HFM1",0
"CDC7",1
"TGFBR3",29
"BRDT",0
"EPHX4",0
"SETSIP",0
"BTBD8",4
"AC104836.1",0
"C1orf146",0
"GLMN",5
"RPAP2",39
"GFI1",0
"EVI5",135
"RPL5",216
"FAM69A",24
"MTF2",38
"TMED5",121
"CCDC18",20
"DR1",132
"FNBP1L",3
"BCAR3",47
"AL109613.1",0
"DNTTIP2",34
"GCLM",99
"ABCA4",0
"AC093579.1",0
"ARHGAP29",92
"AC097059.1",3
"AC097059.2",0
"ABCD3",63
"F3",64
"AC093117.1",0
"SLC44A3",2
"CNN3",207
"AC105942.1",10
"ALG14",47
"AC095033.1",0
"TMEM56",1
"TMEM56-RWDD3",0
"AC092802.1",0
"RWDD3",10
"AC092802.2",0
"LINC01760",0
"LINC01650",0
"AL445218.1",0
"LINC01761",0
"AL356479.1",0
"AL683887.1",0
"AC099566.1",0
"LINC01787",0
"PTBP2",25
"DPYD",86
"DPYD-AS1",0
"DPYD-AS2",0
"MIR137HG",22
"BX005019.1",18
"LINC01776",4
"SNX7",135
"PLPPR5",0
"AL445433.2",0
"PLPPR4",0
"LINC01708",0
"PALMD",1
"FRRS1",1
"AGL",52
"AC118553.1",5
"SLC35A3",70
"AC118553.2",0
"MFSD14A",42
"AC093019.2",0
"SASS6",10
"TRMT13",20
"LRRC39",0
"DBT",44
"RTCA-AS1",7
"RTCA",89
"AC104457.2",0
"CDC14A",5
"AL589990.1",0
"GPR88",0
"LINC01349",0
"VCAM1",0
"EXTL2",95
"AC104506.1",2
"SLC30A7",114
"DPH5",90
"AC093157.2",0
"AC093157.1",30
"AL109741.1",0
"S1PR1",18
"LINC01307",0
"LINC01709",0
"OLFM3",0
"AC114485.1",0
"AC099567.1",0
"COL11A1",1
"AC095032.2",0
"RNPC3",24
"AMY2B",2
"AMY2A",0
"AMY1A",0
"AMY1B",0
"AMY1C",0
"LINC01676",0
"LINC01677",0
"AL355306.2",0
"LINC01661",0
"PRMT6",33
"NTNG1",0
"VAV3",0
