"","coexpression_counts"
"AC092807.3",52
"AC092807.2",0
"CYR61",144
"AC092807.1",0
"ZNHIT6",19
"COL24A1",0
"AL136382.1",0
"ODF2L",35
"CLCA2",2
"CLCA1",0
"CLCA4",0
"AL356270.1",0
"AL049597.2",0
"SH3GLB1",121
"AL355981.1",0
"SELENOF",105
"HS2ST1",31
"AL121989.1",0
"AC093155.3",0
"LINC01140",1
"AC099062.1",0
"LMO4",145
"LINC01364",0
"PKN2-AS1",1
"PKN2",22
"GTF2B",17
"KYAT3",12
"RBMXL1",18
"GBP3",22
"GBP1",23
"GBP2",9
"GBP7",0
"GBP4",7
"AC099063.4",0
"GBP5",0
"AC099063.1",0
"GBP6",0
"LRRC8B",1
"LRRC8C-DT",1
"LRRC8C",2
"AC093423.3",0
"AC099568.2",1
"LRRC8D",19
"AL391497.1",0
"ZNF326",30
"AC092783.1",0
"BARHL2",0
"LINC01763",0
"AC091614.1",0
"ZNF644",27
"HFM1",0
"CDC7",2
"TGFBR3",24
"BRDT",0
"EPHX4",0
"SETSIP",0
"BTBD8",2
"AC104836.1",0
"C1orf146",0
"GLMN",1
"RPAP2",10
"GFI1",1
"EVI5",68
"RPL5",153
"FAM69A",13
"MTF2",10
"TMED5",34
"CCDC18",7
"DR1",71
"FNBP1L",33
"BCAR3",46
"AL109613.1",0
"DNTTIP2",18
"GCLM",79
"ABCA4",2
"AC093579.1",0
"ARHGAP29",123
"AC097059.1",6
"AC097059.2",0
"ABCD3",27
"F3",65
"AC093117.1",0
"SLC44A3",1
"CNN3",147
"AC105942.1",8
"ALG14",19
"AC095033.1",0
"TMEM56",3
"TMEM56-RWDD3",4
"AC092802.1",0
"RWDD3",3
"AC092802.2",0
"LINC01760",0
"LINC01650",0
"AL445218.1",0
"LINC01761",0
"AL356479.1",0
"AL683887.1",0
"AC099566.1",0
"LINC01787",0
"PTBP2",16
"DPYD",4
"DPYD-AS1",0
"DPYD-AS2",0
"MIR137HG",0
"BX005019.1",0
"LINC01776",0
"SNX7",53
"PLPPR5",0
"AL445433.2",0
"PLPPR4",0
"LINC01708",0
"PALMD",7
"FRRS1",0
"AGL",12
"AC118553.1",0
"SLC35A3",25
"AC118553.2",0
"MFSD14A",6
"AC093019.2",0
"SASS6",5
"TRMT13",6
"LRRC39",0
"DBT",12
"RTCA-AS1",0
"RTCA",41
"AC104457.2",0
"CDC14A",1
"AL589990.1",0
"GPR88",0
"LINC01349",0
"VCAM1",1
"EXTL2",35
"AC104506.1",3
"SLC30A7",54
"DPH5",40
"AC093157.2",0
"AC093157.1",10
"AL109741.1",0
"S1PR1",1
"LINC01307",0
"LINC01709",0
"OLFM3",0
"AC114485.1",0
"AC099567.1",0
"COL11A1",0
"AC095032.2",0
"RNPC3",4
"AMY2B",1
"AMY2A",0
"AMY1A",0
"AMY1B",0
"AMY1C",0
"LINC01676",0
"LINC01677",0
"AL355306.2",0
"LINC01661",0
"PRMT6",10
"NTNG1",0
"VAV3",0
