"","coexpression_counts"
"LEPROT",55
"LEPR",7
"AL513493.1",0
"PDE4B",7
"AL590783.1",0
"SGIP1",3
"AL139147.1",1
"TCTEX1D1",0
"INSL5",0
"WDR78",2
"AL592161.1",0
"MIER1",53
"SLC35D1",35
"C1orf141",0
"IL23R",0
"IL12RB2",0
"SERBP1",56
"LINC01702",0
"GADD45A",53
"GNG12",56
"GNG12-AS1",1
"DIRAS3",17
"WLS",53
"RPE65",0
"DEPDC1",25
"AL138789.1",0
"DEPDC1-AS1",0
"AL035412.1",0
"AL033530.1",0
"AL691520.1",0
"LINC01707",0
"AL512271.1",0
"LINC01758",0
"LRRC7",1
"AL158840.1",0
"LRRC40",31
"SRSF11",54
"AL353771.1",0
"ANKRD13C",34
"HHLA3",22
"AL158839.1",0
"CTH",8
"AL354872.2",1
"LINC01788",0
"AL513285.1",0
"PTGER3",0
"AL031429.1",0
"ZRANB2-AS1",0
"ZRANB2",53
"NEGR1",26
"AL354949.1",0
"AL583808.1",0
"AL583808.2",0
"LINC01360",0
"LINC02238",0
"LRRIQ3",6
"FPGT",15
"FPGT-TNNI3K",0
"TNNI3K",0
"AC093158.1",0
"AC105271.1",0
"LRRC53",0
"ERICH3",0
"ERICH3-AS1",0
"AC135803.1",0
"CRYZ",37
"TYW3",55
"AC133865.1",0
"AC099786.3",0
"AC099786.1",0
"LHX8",0
"AC099786.2",0
"SLC44A5",0
"AL357314.1",0
"ACADM",43
"RABGGTB",40
"MSH4",0
"ASB17",0
"AC092813.1",0
"AC092813.2",0
"ST6GALNAC3",1
"AC104458.1",0
"LINC02567",0
"ST6GALNAC5",0
"AL035409.1",0
"PIGK",48
"AK5",30
"AC095030.1",0
"AC118549.1",43
"USP33",44
"MIGA1",43
"NEXN-AS1",4
"NEXN",49
"FUBP1",49
"DNAJB4",33
"GIPC2",0
"AC103591.3",2
"PTGFR",11
"IFI44L",8
"IFI44",21
"ADGRL4",56
"AL353651.2",0
"AL353651.1",0
"AL353651.3",0
"AC099671.1",0
"AC098657.2",0
"AL606519.1",0
"AL136234.1",0
"LINC01781",0
"AC093154.1",0
"ADGRL2",39
"AL138799.4",0
"AC117944.1",0
"AC093580.1",0
"LINC01362",0
"LINC01361",0
"LINC01712",0
"LINC01725",0
"AL035706.1",0
"TTLL7",37
"AC104454.2",0
"AL359504.2",2
"PRKACB",37
"SAMD13",0
"DNASE2B",0
"AL844170.1",0
"RPF1",48
"GNG5",56
"SPATA1",3
"CTBS",45
"AL359762.2",0
"LINC01555",0
"SSX2IP",33
"AC104169.1",0
"LPAR3",9
"MCOLN2",0
"WDR63",2
"MCOLN3",0
"SYDE2",6
"C1orf52",46
"BCL10",42
"AL078459.1",3
"DDAH1",40
"AL360219.1",0
"AC092807.3",32
"AC092807.2",0
"CYR61",50
"AC092807.1",0
"ZNHIT6",37
"COL24A1",3
"AL136382.1",0
"ODF2L",47
"CLCA2",0
"CLCA1",0
"CLCA4",0
"AL356270.1",0
"AL049597.2",0
"SH3GLB1",56
"AL355981.1",0
"SELENOF",54
"HS2ST1",39
"AL121989.1",0
"AC093155.3",0
"LINC01140",4
"AC099062.1",0
"LMO4",51
"LINC01364",0
"PKN2-AS1",0
"PKN2",46
"GTF2B",47
"KYAT3",43
"RBMXL1",26
"GBP3",47
"GBP1",50
"GBP2",15
"GBP7",0
"GBP4",6
"AC099063.4",0
"GBP5",0
"AC099063.1",0
"GBP6",0
"LRRC8B",2
"LRRC8C-DT",2
"LRRC8C",24
"AC093423.3",0
"AC099568.2",1
"LRRC8D",23
"AL391497.1",0
"ZNF326",50
"AC092783.1",0
"BARHL2",0
"LINC01763",0
"AC091614.1",0
"ZNF644",43
"HFM1",0
"CDC7",9
"TGFBR3",26
"BRDT",0
"EPHX4",0
"SETSIP",5
"BTBD8",3
"AC104836.1",0
"C1orf146",0
"GLMN",26
"RPAP2",40
"GFI1",0
"EVI5",52
"RPL5",56
"FAM69A",17
"MTF2",42
"TMED5",52
"CCDC18",25
"DR1",49
"FNBP1L",31
"BCAR3",43
"AL109613.1",0
"DNTTIP2",51
"GCLM",54
"ABCA4",2
"AC093579.1",0
"ARHGAP29",50
"AC097059.1",13
"AC097059.2",0
"ABCD3",35
"F3",17
"AC093117.1",0
"SLC44A3",0
"CNN3",55
"AC105942.1",2
"ALG14",45
"AC095033.1",0
"TMEM56",1
"TMEM56-RWDD3",5
"AC092802.1",0
"RWDD3",5
"AC092802.2",0
"LINC01760",0
"LINC01650",0
"AL445218.1",0
"LINC01761",0
"AL356479.1",0
"AL683887.1",0
"AC099566.1",0
"LINC01787",0
"PTBP2",16
"DPYD",28
"DPYD-AS1",0
"DPYD-AS2",0
"MIR137HG",14
"BX005019.1",5
"LINC01776",1
"SNX7",52
"PLPPR5",0
"AL445433.2",0
"PLPPR4",0
"LINC01708",0
"PALMD",9
"FRRS1",7
"AGL",32
"AC118553.1",1
"SLC35A3",36
"AC118553.2",0
"MFSD14A",1
"AC093019.2",0
"SASS6",19
"TRMT13",22
"LRRC39",0
"DBT",24
"RTCA-AS1",0
"RTCA",55
"AC104457.2",0
"CDC14A",6
"AL589990.1",0
"GPR88",0
"LINC01349",0
"VCAM1",2
"EXTL2",45
"AC104506.1",6
"SLC30A7",44
"DPH5",35
"AC093157.2",2
"AC093157.1",17
"AL109741.1",2
"S1PR1",14
"LINC01307",0
"LINC01709",0
"OLFM3",0
"AC114485.1",0
"AC099567.1",0
"COL11A1",4
"AC095032.2",0
"RNPC3",16
"AMY2B",0
"AMY2A",0
"AMY1A",0
"AMY1B",0
"AMY1C",0
"LINC01676",0
"LINC01677",0
"AL355306.2",0
"LINC01661",0
"PRMT6",20
"NTNG1",0
"VAV3",0
