"Gene","Correlation"
"MARCKS",0.105052625928119
"DFFA",0.105039753957657
"RPL13A",0.104992505770602
"DDB1",0.104986758437597
"CNOT8",0.104958142830197
"SUPT4H1",0.104938743596635
"ORMDL3",0.104913517925728
"ALKBH7",0.104888739011457
"SEC63",0.104885615179595
"RPL15",0.104863434324957
"MPHOSPH8",0.104862913779844
"EIF3K",0.104857966107315
"GPX8",0.104794639519407
"ECM1",0.104772234096068
"ABRAXAS2",0.104709585713325
"PRCP",0.104678322334002
"COX6A1",0.104632875200694
"SRSF8",0.104609598209275
"TMEM141",0.104599694459809
"COX6C",0.104591806448948
"AC098484.2",0.104576880890498
"DCAF6",0.104575122040094
"UBA52",0.104537586551118
"EPHB4",0.104491014507428
"CCNI",0.10449100671692
"WASHC3",0.104459220350654
"ARMCX3",0.104432143964014
"SLC26A2",0.104395012629943
"DSG2",0.104376012306427
"RPS3",0.104355898285201
"AC060780.1",0.104296942310187
"RPL26",0.104289715549381
"CTSD",0.104269647571216
"NDUFA1",0.104240152195378
"BTC",0.104202682359549
"RTN4",0.104190306313295
"SH3BP5L",0.103981562056034
"RPL13",0.103961998330089
"OLFML3",0.103950779103071
"RPL32",0.103948963716736
"GPX7",0.103946820853279
"TUBB2A",0.103943582519532
"PPP2CB",0.103884102432342
"COPG1",0.103874832757518
"BCR",0.103754598496521
"UQCRQ",0.103722106221823
"CHPF2",0.103713355677182
"C14orf132",0.103698469442335
"ATP5MF",0.103698365378703
"PLOD3",0.103689422126026
"RPS11",0.103683937100733
"LAPTM4A",0.103657410449627
"NXT1",0.10363943238237
"ENAH",0.103599939878539
"POMP",0.103591392756337
"RBM3",0.103582336572563
"GALNT11",0.103512935703145
"PDIA4",0.103493408926841
"AC023906.5",0.10338011255933
"PEX11A",0.103372401648561
"RERE",0.103353069484378
"TDG",0.103346190815813
"XAF1",0.103339178511999
"AL162741.1",0.103303273887951
"GPRC5B",0.103294747614382
"RPS27A",0.103262360357477
"GPNMB",0.103256685611128
"DPH3",0.103239771907142
"UBE2D3",0.103203029246611
"AC005229.4",0.103147663567392
"SH2D4A",0.103144411662564
"HSPA5",0.103097847491423
"RPN2",0.103075552801216
"RACK1",0.103042129567874
"SPIN1",0.103037134649016
"UQCR11",0.103015603568701
"C1orf122",0.102996029487525
"GPRC5C",0.102987256307579
"TMA7",0.102954489913326
"VCL",0.102948825241123
"SACS",0.102929104500151
"COX7B",0.102889051862685
"OSBP",0.102883379634384
"RARS",0.102834159639251
"RPL18A",0.102796622237028
"SAR1A",0.102795290425881
"TUSC3",0.102782372764773
"WAC-AS1",0.102744822926152
"ZNF451-AS1",0.102707964152642
"TMED10",0.102658134412375
"LRRC41",0.10261204890546
"SPEG",0.10259894705815
"ZNF646",0.102596744645239
"IFITM3",0.102595545380021
"RPS7",0.102558705921168
"FKBP8",0.102541481229672
"FAM234A",0.102493710507529
"CCNG1",0.102479827870899
"GSTA4",0.102466812193309
"RPS18",0.102429530365311
"OST4",0.102428036230108
"VKORC1",0.102423689777941
"TRIM24",0.102402741702104
"SEPT6",0.102395964695257
"COMMD6",0.102386867725422
"INTS4",0.102358689081675
"FLNA",0.102350504721676
"JAGN1",0.102303478751842
"GPC1",0.102247924100218
"WISP1",0.102220541275181
"FAM220A",0.10219853497651
"ABI3BP",0.102149596423453
"PHTF1",0.10212515451679
"NDUFS5",0.102090504244705
"TNS3",0.102078852328673
"CAVIN1",0.102067590350014
"PC",0.10206633448455
"ANGPT1",0.102043832815754
"BICC1",0.102037372727329
"RPL37",0.102007706426683
"MYL9",0.10200270609656
"HNRNPUL1",0.101977185978161
"RBM15B",0.101807444619962
"SLC44A2",0.101638528048469
"ELOB",0.101620955992858
"C1orf53",0.101547388528075
"MLPH",0.10151918131171
"SERP1",0.101500594642917
"IFI27L1",0.101485974318962
"MRPL54",0.101482056447567
"CLPP",0.101418164629593
"ITGB5",0.101358170398249
"COL5A3",0.101344695961268
"VTA1",0.101314904033651
"TAGLN",0.101213202349279
"RPL39",0.101200100781589
"FAM114A1",0.10119791865158
"PCBP2",0.101197489476167
"ELK1",0.101152064917236
"VTI1B",0.101150399645678
"ALPK2",0.101147143739255
"NRBF2",0.101143610902988
"AFP",0.101112407271286
"CYBC1",0.101111298233346
"CERCAM",0.10107718164188
"GNB2",0.101033390489385
"FAM198B",0.101032408281409
"HTR7",0.100924762766029
"MPZL1",0.100908884684761
"SF3A2",0.100858632412232
"NME4",0.100853302842631
"RPS3A",0.100844832215982
"MTA1",0.100809973223746
"AL449983.1",0.100806187395412
"PRDX4",0.100782680999906
